,Rasmussen,SurveyUSA,PropR,DiffCount
0,11.0,18.0,1.0,5
1,21.0,25.0,1.0,5
2,0.04040404040404041,0.17567567567567566,1.0,1
3,16.0,0.17567567567567566,1.0,6
4,5.0,15.0,1.0,8
5,5.0,0.17567567567567566,1.0,9
6,8.0,0.17567567567567566,0.833333333,4
7,7.0,5.0,1.0,8
8,10.0,0.17567567567567566,1.0,5
9,0.04040404040404041,0.17567567567567566,1.0,2
10,-11.0,-11.0,0.0,-8
11,-27.0,-24.0,0.0,-5
12,0.04040404040404041,-14.0,0.0,-6
13,5.0,3.0,1.0,9
14,-4.0,0.17567567567567566,0.0,-15
15,3.0,-2.0,0.307692308,-5
16,0.04040404040404041,0.17567567567567566,0.0,-3
17,-17.0,-16.0,0.0,-4
18,-7.0,-13.0,0.0,-8
19,0.04040404040404041,0.17567567567567566,0.0,-2
20,-15.0,-30.0,0.0,-4
21,3.0,1.0,0.5,0
22,1.0,-3.0,0.15789473699999998,-13
23,2.0,0.0,0.666666667,6
24,0.04040404040404041,12.0,1.0,4
25,5.0,7.0,1.0,9
26,0.04040404040404041,8.0,1.0,4
27,0.04040404040404041,0.17567567567567566,0.75,2
28,-41.0,0.17567567567567566,0.0,-1
29,0.04040404040404041,0.17567567567567566,0.0,-2
30,0.04040404040404041,0.17567567567567566,1.0,1
31,39.0,0.17567567567567566,1.0,1
32,0.04040404040404041,0.17567567567567566,1.0,1
33,-11.0,-12.0,0.0,-5
34,-22.0,0.17567567567567566,0.0,-5
35,0.04040404040404041,0.17567567567567566,0.0,-5
36,0.04040404040404041,19.0,1.0,3
37,3.0,0.0,0.625,2
38,9.0,0.17567567567567566,1.0,3
39,2.0,-3.0,0.666666667,5
40,-8.0,-15.0,0.0,-8
41,1.0,0.17567567567567566,0.4,-2
42,0.04040404040404041,23.0,1.0,3
43,13.0,21.0,1.0,2
44,0.04040404040404041,9.0,1.0,1
45,0.04040404040404041,21.0,1.0,3
46,12.0,16.0,1.0,5
47,0.04040404040404041,14.0,1.0,1
48,0.04040404040404041,0.17567567567567566,1.0,5
49,16.0,0.17567567567567566,1.0,2
50,0.04040404040404041,0.17567567567567566,1.0,2
51,0.04040404040404041,-8.0,0.0,-6
52,-13.0,-15.0,0.0,-6
53,-12.0,0.17567567567567566,0.0,-6
54,-3.0,-11.0,0.0,-6
55,-23.0,0.17567567567567566,0.0,-1
56,0.04040404040404041,0.17567567567567566,0.0,-4
57,0.04040404040404041,0.17567567567567566,0.0,-2
58,-28.0,-17.0,0.0,-4
59,-19.0,0.17567567567567566,0.0,-8
60,0.04040404040404041,0.17567567567567566,0.0,-2
61,-10.0,0.17567567567567566,0.133333333,-11
62,-5.0,0.17567567567567566,0.083333333,-10
63,-1.0,0.17567567567567566,0.181818182,-7
64,-12.0,-3.0,0.0,-14
65,-5.0,-11.0,0.14285714300000002,-5
66,0.04040404040404041,0.17567567567567566,1.0,1
67,8.0,0.17567567567567566,1.0,4
68,0.04040404040404041,0.17567567567567566,1.0,1
69,5.0,5.0,1.0,8
70,0.0,0.0,0.833333333,4
71,11.0,7.0,1.0,8
72,0.04040404040404041,0.17567567567567566,1.0,3
73,4.0,0.17567567567567566,0.75,4
74,10.0,0.17567567567567566,1.0,5
75,0.04040404040404041,0.17567567567567566,1.0,2
76,19.0,0.17567567567567566,1.0,1
77,0.04040404040404041,0.17567567567567566,1.0,2
78,2.0,8.0,1.0,9
79,-4.0,0.17567567567567566,0.090909091,-9
80,-2.0,-4.0,0.0,-10
81,-2.0,0.17567567567567566,0.222222222,-5
82,-7.0,-11.0,0.0,-14
83,-2.0,0.17567567567567566,0.0,-8
84,-12.0,-12.0,0.0,-8
85,-15.0,-10.0,0.0,-9
86,0.04040404040404041,-14.0,0.0,-9
87,4.0,0.17567567567567566,0.625,2
88,-10.0,-7.0,0.0,-6
89,-11.0,0.17567567567567566,0.0,-5
90,-5.0,-18.0,0.0,-6
91,-20.0,-33.0,0.0,-5
92,0.04040404040404041,-29.0,0.0,-5
93,12.0,8.0,1.0,7
94,1.0,1.0,0.333333333,-5
95,6.0,5.0,0.666666667,3
96,0.04040404040404041,0.17567567567567566,1.0,2
97,14.0,0.17567567567567566,0.5,0
98,14.0,0.17567567567567566,1.0,4
99,4.0,2.0,0.6,3
100,0.0,-2.0,0.1,-16
101,0.0,-5.0,0.0,-16
102,34.0,30.0,1.0,4
103,31.0,24.0,1.0,2
104,0.04040404040404041,0.17567567567567566,1.0,1
105,-8.0,-3.0,0.1,-8
106,-12.0,-19.0,0.0,-9
107,0.04040404040404041,-7.0,0.0,-4
108,-2.0,-1.0,0.125,-12
109,-6.0,-9.0,0.0,-19
110,-5.0,0.0,0.0,-13
111,0.04040404040404041,-13.0,0.0,-2
112,-19.0,0.17567567567567566,0.0,-1
113,0.04040404040404041,0.17567567567567566,0.0,-2
114,0.04040404040404041,18.0,1.0,4
115,11.0,8.0,1.0,5
116,0.04040404040404041,0.17567567567567566,1.0,1
117,10.0,0.17567567567567566,1.0,4
118,9.0,0.17567567567567566,1.0,4
119,0.04040404040404041,0.17567567567567566,1.0,1
120,6.0,18.0,1.0,7
121,12.0,0.17567567567567566,1.0,5
122,0.04040404040404041,0.17567567567567566,1.0,1
123,0.04040404040404041,22.0,1.0,2
124,10.0,0.17567567567567566,1.0,5
125,0.04040404040404041,0.17567567567567566,1.0,4
126,0.04040404040404041,0.17567567567567566,1.0,3
127,32.0,0.17567567567567566,1.0,3
128,0.04040404040404041,0.17567567567567566,1.0,1
129,0.04040404040404041,0.17567567567567566,0.0,-2
130,-24.0,0.17567567567567566,0.0,-2
131,6.0,4.0,1.0,5
132,-4.0,-4.0,0.0,-18
133,2.0,0.17567567567567566,0.333333333,-4
134,-8.0,-4.0,0.0,-10
135,-11.0,-16.0,0.0,-6
136,-13.0,-14.0,0.0,-8
137,6.0,0.17567567567567566,1.0,6
138,9.0,0.17567567567567566,1.0,11
139,0.04040404040404041,0.17567567567567566,1.0,1
140,-1.0,0.17567567567567566,0.533333333,1
141,-7.0,-16.0,0.0,-12
142,0.0,0.17567567567567566,0.0,-8
143,0.04040404040404041,0.17567567567567566,1.0,1
144,19.0,21.0,1.0,3
